"X","Y","Z","Intensity"
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2.429,7.366,2.078,0.000
2.468,7.394,2.089,0.000
2.485,7.368,2.083,0.000
2.517,7.373,2.088,0.000
2.544,7.372,2.090,1.000
2.572,7.365,2.090,1.000
2.585,7.321,2.080,1.000
2.615,7.319,2.082,2.000
2.638,7.316,2.084,3.000
2.668,7.314,2.086,6.000
2.691,7.299,2.085,6.000
2.711,7.275,2.080,8.000
2.733,7.263,2.079,8.000
2.762,7.260,2.081,11.000
2.781,7.238,2.078,15.000
2.812,7.241,2.081,18.000
2.831,7.215,2.077,19.000
2.858,7.208,2.078,21.000
2.885,7.210,2.081,30.000
2.905,7.186,2.077,28.000
2.928,7.168,2.075,33.000
2.955,7.161,2.076,36.000
2.980,7.153,2.076,37.000
3.010,7.155,2.080,26.000
3.030,7.142,2.079,40.000
3.056,7.131,2.079,48.000
3.075,7.108,2.075,48.000
3.105,7.108,2.078,54.000
3.126,7.092,2.077,56.000
3.156,7.088,2.079,58.000
