"X" "Y" "Z" "Intensity"
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
nan nan nan nan
2.437 7.447 2.100 0.000
2.451 7.398 2.088 0.000
2.472 7.374 2.084 0.000
2.501 7.373 2.086 0.000
2.527 7.372 2.088 0.000
2.553 7.361 2.088 1.000
2.573 7.342 2.085 1.000
2.603 7.346 2.088 2.000
2.620 7.315 2.082 2.000
2.645 7.298 2.080 6.000
2.674 7.303 2.084 6.000
2.697 7.287 2.082 6.000
2.722 7.277 2.082 8.000
2.750 7.269 2.082 10.000
2.769 7.251 2.080 12.000
2.794 7.240 2.079 15.000
2.818 7.228 2.079 16.000
2.843 7.217 2.078 22.000
2.874 7.219 2.082 23.000
2.895 7.198 2.079 28.000
2.909 7.171 2.074 32.000
2.941 7.175 2.078 36.000
2.965 7.165 2.078 36.000
2.996 7.165 2.081 36.000
3.018 7.151 2.080 43.000
3.037 7.123 2.075 45.000
3.061 7.118 2.076 47.000
3.090 7.114 2.078 50.000
3.115 7.107 2.079 51.000
3.141 7.094 2.079 60.000
3.157 7.068 2.074 56.000
3.183 7.060 2.075 58.000
3.211 7.056 2.077 63.000
3.241 7.053 2.080 60.000
3.257 7.029 2.076 60.000
3.271 6.995 2.069 42.000
3.307 7.008 2.076 57.000
3.332 6.996 2.076 56.000
3.357 6.988 2.077 57.000
3.375 6.962 2.073 57.000
3.399 6.946 2.072 58.000
3.430 6.948 2.076 58.000
3.456 6.940 2.077 57.000
3.481 6.931 2.078 58.000
