"X","Y","Z","Intensity"
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2.442,7.468,2.105,0.000
2.443,7.380,2.083,0.000
2.473,7.386,2.087,0.000
2.494,7.361,2.082,0.000
2.523,7.365,2.086,0.000
2.549,7.352,2.085,1.000
2.573,7.344,2.085,1.000
2.596,7.323,2.082,2.000
2.619,7.319,2.083,2.000
2.642,7.303,2.081,3.000
2.667,7.292,2.080,6.000
2.696,7.287,2.082,8.000
2.714,7.258,2.076,7.000
2.748,7.272,2.083,9.000
2.770,7.255,2.081,12.000
2.791,7.229,2.076,15.000
2.814,7.226,2.078,18.000
2.839,7.214,2.077,21.000
2.871,7.214,2.080,22.000
2.897,7.207,2.081,27.000
2.910,7.171,2.074,29.000
2.936,7.162,2.074,35.000
2.963,7.160,2.076,36.000
2.994,7.161,2.080,38.000
3.016,7.150,2.079,41.000
3.035,7.123,2.075,46.000
3.063,7.122,2.077,47.000
3.090,7.114,2.078,51.000
3.115,7.106,2.079,54.000
3.138,7.089,2.077,58.000
